stelling (-2 helemaal mee oneens; -1 oneens; 0=neutraal; 1 eens; 2 helemaal mee eens),SGP,VVD,CDA,FVD,CU,JA21,NSC,BBB,VOLT,DENK,PVV,SP,Partij voor de Dieren,GL-PvdA,D66
Het bouwen van koopwoningen heeft meer prioriteit dan het bouwen van sociale huurwoningen,1,1,1,2,0,1,-1,1,-1,-1,0,-1,-2,-1,0
Nederland moet stoppen met het leveren van wapens aan Israël,-2,-1,0,2,0,-2,1,-2,2,2,-2,2,2,2,2
Schiphol moet meer ruimte krijgen om te groeien,-1,2,-1,2,-2,2,-1,1,-2,0,2,-2,-2,-1,-1
Het moet strafbaar worden om zonder verblijfsvergunning in Nederland te zijn,1,2,1,2,-1,2,1,2,-2,-2,2,-2,-2,-1,-1
"Kinderopvang moet voor alle gezinnen gratis worden \,ook voor ouders die niet werken",-1,-1,-1,-2,-1,-1,-1,-1,1,1,-2,2,1,2,1
"Bedrijven die het milieu vervuilen moeten meer belasting gaan betalen\, ook als ze daardoor uit Nederland weggaan",0,-1,-1,-2,1,-2,0,-2,1,2,-2,1,2,1,1
De overheid moet verder bezuinigen op de publieke omroep,1,1,-1,2,-1,2,-1,2,-2,-1,2,-2,-2,-1,-1
"Om de uitstoot van stikstof te verminderen\, mag de overheid boeren dwingen om hun bedrijf te verkopen",-2,-1,-1,-2,-1,-2,-1,-2,1,1,-2,-1,2,1,1
"Er moet meer geld naar het openbaar vervoer\, ook als daardoor minder geld overblijft voor wegen",0,-1,-1,-1,1,-1,1,-1,2,0,-1,1,2,1,1
Er moet meer geld naar ontwikkelingssamenwerking,1,-2,1,-2,2,-2,1,-2,2,2,-2,2,2,2,1
Er moet meer geld worden uitgegeven aan jeugdzorg\ ook als de belastingen hierdoor stijgen,-1,-1,-1,-1,0,-1,-1,-1,2,1,-1,2,2,1,1
Nederland moet meer kerncentrales bouwen,1,2,2,2,1,2,2,2,1,0,2,-1,-2,-1,1
De belasting op grote vermogens moet omhoog,-1,-1,1,-2,1,-2,1,-2,2,2,1,2,2,2,1
Het moet makkelijker worden om je geslacht in je geboorteakte te veranderen,-2,0,-1,-2,-2,-2,-1,-2,2,-2,-2,2,2,2,2
De oplossing voor het woningtekort ligt meer in het beperken van migratie dan in het bouwen van nieuwe woningen,1,1,-1,2,0,2,-1,1,-2,-2,2,-1,-2,-2,-1
Er moet meer aandacht zijn voor de koloniale geschiedenis in het Nederlandse onderwijs,-1,-1,-1,-2,1,-2,0,-2,2,2,-2,2,2,2,1
Nederland moet vanaf 2035 minimaal 5% van het bruto binnenlands product (bbp) aan defensie en veiligheid uitgeven (NAVO-afspraak),2,2,2,-2,1,1,2,-1,1,-2,2,-2,-1,1,1
Het eigen risico is nodig om de zorgkosten betaalbaar te houden,1,1,1,1,1,1,1,0,1,-2,-1,-2,-2,-1,1
"Natuurgebieden in Nederland moeten groter worden\, ook al verdwijnt er dan landbouwgrond",-1,-1,-1,-2,-1,-1,-1,-2,2,1,-2,1,2,1,1
"Nederland moet veel minder asielzoekers toelaten\, ook als dat betekent dat we internationale afspraken moeten opzeggen",1,2,1,2,0,2,1,2,-2,-2,2,-1,-2,-1,1
Bij een begrotingstekort kan de overheid beter bezuinigen dan de belastingen verhogen,2,2,2,2,1,2,1,2,-1,1,0,-1,-2,-1,0
"Om scholieren op de middelbare school meer gelijke kansen te geven\, moet de selectie voor vmbo\, havo of vwo pas worden gemaakt na een aantal jaren gezamenlijke onderbouw",-1,-1,-1,-2,1,-2,-1,-2,2,2,-2,1,2,1,2
In plaats van het minimumjeugdloon moeten jongeren vanaf 18 jaar hetzelfde minimumloon krijgen als volwassenen,-1,-1,-1,-2,1,-1,1,-1,2,2,1,2,2,1,1
"De regering moet gevaarlijke organisaties kunnen verbieden\, zonder uitspraak van een rechter",1,1,1,1,-1,1,-2,0,-2,-2,1,-2,-2,-1,0
De bijstandsuitkering moet altijd blijven meestijgen met het minimumloon,1,-1,1,-1,1,-1,2,1,-1,2,0,2,2,2,1
Oekraïne mag in de toekomst lid van de NAVO worden,-1,1,1,-2,1,-1,1,0,2,-1,-2,-2,1,2,2
Om minder afhankelijk te zijn van het buitenland mogen gasboringen in de Noordzee blijven doorgaan,2,1,1,2,1,2,1,2,-2,1,2,-2,-2,-1,1
"De landelijke overheid mag gemeenten verplichten meer asielzoekers op te vangen\,  zodat de opvang eerlijk over Nederland wordt verdeeld",-2,-1,2,-2,1,-2,-1,-2,2,2,-2,1,2,1,1
De hypotheekrenteaftrek moet verder worden afgebouwd,-1,-2,1,-2,1,1,-1,-2,2,0,-2,1,1,1,1
"Het is beter om grote uitdagingen gezamenlijk in de Europese Unie op te pakken\, ook als Nederland dan minder zelf kan beslissen",-1,1,1,-2,1,-1,-1,-2,2,0,-2,-1,1,1,2
